id,districtname,admtotal,generalfundexpends,perpupilexpends,avgteachersalary,readingproficiency,total_enroll,female_pct,male_pct,aian_pct,asian_pct,nhpi_pct,hisla_pct,black_pct,white_pct,twomo_pct,meals_pct,medianhouseincome,mhi_marginoferror,nocomp_cnt,nocomp_pct,yescomp_cnt,yescomp_pct,nointernet_cnt,nointernet_pct,yesinternet_cnt,yesinternet_pct,lat,lng
2728200,Pequot Lakes Public Schools,1727.56,15564016,9009.25,60281,70.4228571,1747,46.94,53.06,1.49,0.11,0,0.74,1.26,95.6,0.8,26.27,56519,3183,398,8.517012626,4275,91.48298737,532,11.06719368,4275,88.93280632,46.6262214,-94.2239081
2707290,Burnsville Public School District,8672.41,102758358,11848.88,71750,48.2771429,8874,48.86,51.14,0.48,7.98,0.23,18.92,26.93,38.85,6.61,51,74969,2362,1374,4.849982351,26956,95.15001765,2636,8.907812922,26956,91.09218708,44.7875938,-93.3081439
2711820,Farmington Public School District,7295.26,71285939,9771.54,66219,57.5828571,7313,47.94,52.06,0.36,4.68,0.03,6.99,3.42,79.8,4.72,15.12,93611,3226,426,3.381489125,12172,96.61851087,678,5.276264591,12172,94.72373541,44.6298858,-93.1272429
2717780,Lakeville Public School District,11098.37,125766054,11331.94,70874,73.31,11204,48.56,51.44,0.29,5.04,0.14,6.78,3.99,78.99,4.77,12.8,107695,2937,712,3.470123794,19806,96.52987621,947,4.563195683,19806,95.43680432,44.6343539,-93.2908232
2730150,Randolph Public School District,679.42,6804649,10015.38,49924,51.1328571,684,46.35,53.65,0,0.73,0,2.19,0.58,94.89,1.61,17.98,89554,5723,60,6.389776358,879,93.61022364,115,11.5694165,879,88.4305835,44.5396097,-93.0106439
2732390,Rosemount-Apple Valley-Eagan,28563.45,289752744,10144.18,74578,65.2914286,28997,48.47,51.53,0.33,8.35,0.09,9.94,12.15,62.7,6.44,22.44,94036,2384,2387,4.047752285,56584,95.95224771,3822,6.327186041,56584,93.67281396,44.7517975,-93.1233268
2742270,West St. Paul-Mendota Heights-Eagan,5175.48,58530102,11309.12,62490,59.68,5222,48.76,51.24,0.79,4.48,0.1,26.18,11.07,50.37,7.01,41.25,72556,2556,1701,8.573156595,18140,91.42684341,2331,11.38683992,18140,88.61316008,44.873609,-93.1412907
2715030,Inver Grove Heights Schools,3583.2,36658026,10230.53,65095,51.64,3633,48.42,51.58,0.44,5.15,0.08,24.11,10.54,52.58,7.1,40.1,70076,4019,943,7.141234381,12262,92.85876562,1523,11.04824084,12262,88.95175916,44.8256309,-93.0449554
2713530,Hastings Public School District,4346.71,47256101,10871.69,64896,65.1,4391,49.53,50.47,0.71,1.05,0.02,4.83,2.57,86.31,4.51,21.68,76385,2845,1196,8.724832215,12512,91.27516779,1523,10.85144282,12512,89.14855718,44.6945396,-92.8625847
2713590,Hayfield Public School District,708.95,6966813,9826.95,56280,48.9057143,685,50.36,49.64,0.44,0,0,7.45,1.61,88.89,1.61,32.41,64840,4071,259,11.97964847,1903,88.02035153,320,14.39496176,1903,85.60503824,43.8447085,-92.8184578
2716980,Kasson-Mantorville School District,2222.73,19343642,8702.65,56093,66.5071429,2222,49.46,50.54,0,0.45,0,5.4,0.54,90.77,2.84,16.47,78854,4387,246,6.130077249,3767,93.86992275,276,6.826613901,3767,93.1733861,44.0248356,-92.7369572
2703060,Alexandria Public School District,4201.34,45346085,10793.24,55914,65.6257143,4191,48.25,51.75,0.24,0.93,0,3.65,0.74,91.82,2.62,27.92,61097,3459,1661,10.97238737,13477,89.02761263,2291,14.52942669,13477,85.47057331,45.9152584,-95.3865271
2725140,Osakis Public School District,840.41,7631697,9080.92,53044,62.0785714,846,50,50,0.47,0.24,0.12,2.25,0.95,95.26,0.71,30.26,54559,2314,208,11.36612022,1622,88.63387978,350,17.7484787,1622,82.2515213,45.885153,-95.1055025
2708220,Chatfield Public Schools,867.48,8766530,10105.74,53977,70.5128571,873,47.42,52.58,0.23,0.57,0.11,2.29,0.57,94.51,1.72,16.95,73407,4288,261,11.328125,2043,88.671875,352,14.69728601,2043,85.30271399,43.8430231,-92.2043769
2717910,Lanesboro Public School District,352.39,3613783,10255.07,52824,63.2571429,347,46.97,53.03,0,0.58,0.29,2.02,0,96.25,0.86,36.02,58516,5189,102,13.58189081,649,86.41810919,136,17.32484076,649,82.67515924,43.7275442,-91.9448125
2718540,Mabel-Canton Public School District,256.28,2918326,11387.26,46123,60.2314286,275,47.27,52.73,0.73,0,0,1.45,1.45,95.28,1.09,31.27,56146,6348,247,20.75630252,943,79.24369748,271,22.32289951,943,77.67710049,43.5763611,-91.8301799
2728290,Rushford-Peterson Public Schools,693.09,7449969,10748.92,53249,62.1057143,697,46.34,53.66,0,0.29,0,2.44,0.72,94.54,2.01,29.27,58448,3782,228,12.40478781,1610,87.59521219,266,14.17910448,1610,85.82089552,43.7863591,-91.7953783
2702970,Albert Lea Public School District,3491.22,38441564,11010.93,58998,46.8185714,3595,47.34,52.66,0.25,7.29,0,21.72,3.67,63.82,3.25,51.93,49318,1995,1514,13.18355974,9970,86.81644026,2138,17.65774694,9970,82.34225306,43.6770341,-93.313803
2703030,Alden-Conger Public School District,501.42,5525741,11020.18,53510,58.6057143,507,51.08,48.92,0,0.2,0,6.11,0.39,90.74,2.56,29.78,62353,4101,95,14.28571429,570,85.71428571,111,16.29955947,570,83.70044053,43.6364923,-93.5615029
2707500,Cannon Falls Public School District,1153.09,11755018,10194.36,51704,62.4742857,1158,47.75,52.25,0.52,1.04,0.35,2.68,0.69,91.52,3.2,24.96,72946,3328,320,9.17168243,3169,90.82831757,503,13.69825708,3169,86.30174292,44.478968,-92.8530418
2712900,Goodhue Public School District,682.9,6072059,8891.58,48000,56.1785714,673,49.63,50.37,0,0,0,8.62,0,90.64,0.74,16.94,78472,6418,99,7.86963434,1159,92.13036566,152,11.5942029,1159,88.4057971,44.4187097,-92.5910235
2728950,Pine Island Public School District,1360.77,12474746,9167.42,55817,68.6657143,1358,46.91,53.09,0.07,1.33,0,2.8,1.69,92.49,1.62,15.61,75500,7720,167,6.294760648,2486,93.70523935,290,10.44668588,2486,89.55331412,44.18555,-92.636086
2730480,Red Wing Public School District,2724.27,28748425,10552.71,59419,54.8385714,2667,49.68,50.32,3.49,1.09,0,8.85,3.82,75.66,7.09,33.45,58343,5032,955,10.36128892,8262,89.63871108,1194,12.62690355,8262,87.37309645,44.5518406,-92.6089836
2703300,Ashby Public School District,285.87,2551563,8925.61,48519,58.9814286,293,48.12,51.88,0,0,0,2.73,0.68,96.25,0.34,37.2,60144,3447,70,10.43219076,601,89.56780924,105,14.87252125,601,85.12747875,46.1181061,-95.8362743
2713890,Herman-Norcross School District,97.45,1604621,16466.1,48590,60,99,44.44,55.56,0,0,0,7.07,0,85.86,7.07,33.33,48643,2306,70,14.22764228,422,85.77235772,96,18.53281853,422,81.46718147,45.8133866,-96.151806
2714260,Hopkins Public School District,6858.37,81156042,11833.14,68475,59.4985714,6883,48.61,51.39,0.36,6.03,0.1,9.76,22.49,52.96,8.3,35.44,71796,2200,2229,6.826116249,30425,93.17388375,2755,8.303194696,30425,91.6968053,44.9378091,-93.4124817
2705790,Bloomington Public School District,10466.54,127973644,12226.93,68922,53.5157143,10641,47.8,52.2,0.53,7.09,0.09,19.2,17.83,48.32,6.94,41.21,72127,1670,2592,6.750175786,35807,93.24982421,3815,9.628489223,35807,90.37151078,44.8296656,-93.315217
2714220,Eden Prairie Public School District,8916.38,98200311,11013.47,63903,73.5371429,8899,48.32,51.68,0.34,13.75,0.12,8.47,14.77,56.95,5.6,21.73,106103,2707,894,3.694825591,23302,96.30517441,1397,5.656099437,23302,94.34390056,44.8468508,-93.4573412
2711250,Edina Public School District,8412.2,98223666,11676.34,75489,77.4328571,8510,48.82,51.18,0.07,10.07,0.05,5.45,6.32,73.16,4.88,8.88,119294,6628,888,5.091743119,16552,94.90825688,1024,5.826126536,16552,94.17387346,44.8910772,-93.3578231
2711670,Minnetonka Public School District,10926.92,115377537,10559.02,73195,81.4842857,10970,49.22,50.78,0.24,5.55,0.06,4.16,2.64,83.26,4.09,5.93,117906,2597,636,3.904954872,15651,96.09504513,803,4.880272274,15651,95.11972773,44.9050192,-93.5476249
2722920,Westonka Public School District,2440.68,27509910,11271.41,66063,77.6071429,2447,47.53,52.47,0.16,1.06,0.08,4.7,1.88,86.32,5.8,16.1,100602,9980,479,5.474911418,8270,94.52508858,704,7.844885224,8270,92.15511478,44.9396488,-93.6651032
2725080,Orono Public School District,2876.85,33235969,11552.9,73679,78.8314286,2885,47.04,52.96,0.17,1.59,0.03,4.51,1.01,89.19,3.5,6.69,113341,14410,235,4.644268775,4825,95.35573123,325,6.310679612,4825,93.68932039,44.9973086,-93.610104
2725200,Osseo Public School District,21072.86,222122568,10540.69,65884,54.9457143,21472,48.62,51.38,0.92,15.91,0.04,9.12,24.86,42.67,6.48,41.24,83984,1586,3194,5.556232061,54291,94.44376794,5053,8.514761391,54291,91.48523861,45.1079725,-93.4304112
2731750,Richfield Public School District,4231.02,45318424,10710.99,68409,43.4857143,4319,47.58,52.42,0.81,6,0.14,40.7,14.52,28.66,9.17,61.66,61358,2876,2007,9.878426933,18310,90.12157307,2677,12.75551532,18310,87.24448468,44.877133,-93.2873664
2731780,Robbinsdale Public School District,12236.62,133467295,10907.2,59092,48.7471429,12546,49.08,50.92,0.59,6.36,0.03,15.01,29.83,39.08,9.1,50.78,66557,1958,4093,8.809349576,42369,91.19065042,5664,11.79189307,42369,88.20810693,45.0304737,-93.378405
2733420,St. Anthony-New Brighton Schools,1816.12,18558636,10218.84,63687,67.5614286,1837,49.7,50.3,0.54,7.68,0.16,7.08,12.08,65.55,6.91,25.69,70143,5393,552,10.25641026,4830,89.74358974,699,12.64243082,4830,87.35756918,45.0303318,-93.2154174
2733780,St. Louis Park Public School District,4616.9,58543881,12680.34,63193,58.9185714,4714,49.07,50.93,0.62,3.42,0.23,11.9,20.43,54.34,9.06,36.13,76888,3013,1486,6.304357049,22085,93.69564295,2057,8.520420843,22085,91.47957916,44.948693,-93.3637621
2742160,Wayzata Public School District,11911.97,133911351,11241.75,64164,80.7957143,11948,48.23,51.77,0.07,20.55,0.04,4.32,7.03,62.58,5.41,11.22,109562,4824,1367,4.860962947,26755,95.13903705,1353,4.813576206,26755,95.18642379,45.010205,-93.4991063
2706240,Brooklyn Center School District,2487.32,24748211,9949.75,56287,22.4285714,2492,50.08,49.92,1.16,12.68,0,20.67,39.89,19.54,6.06,75.44,46815,7895,409,11.30771357,3208,88.69228643,699,17.89096493,3208,82.10903507,45.067676,-93.3020893
2714280,Houston Public School District,1923.5,19059114,9908.56,52665,57.9471429,1976,54.3,45.7,1.32,1.47,0.1,7.19,7.34,74.84,7.74,30.01,62212,4279,148,10.89837997,1210,89.10162003,172,12.44573082,1210,87.55426918,43.77677,-91.5745845
2733300,Spring Grove School District,363.66,4207056,11568.65,52829,68.2514286,361,48.75,51.25,0,0,0,1.11,1.11,96.67,1.11,32.41,51125,4769,193,16.88538933,950,83.11461067,200,17.39130435,950,82.60869565,43.5756011,-91.631879
2707380,Caledonia Public School District,717.07,7693922,10729.67,58525,61.0757143,718,46.38,53.62,0,0.14,0,0.84,1.39,96.1,1.53,27.16,57775,5850,415,13.8656866,2578,86.1343134,550,17.5831202,2578,82.4168798,43.6137125,-91.4305114
2717250,La Crescent-Hokah School District,1108.1,12031091,10857.41,52112,55.13,1108,47.92,52.08,0.45,1.62,0.09,2.08,2.53,89.17,4.06,20.22,63385,4525,357,8.933933934,3639,91.06606607,412,10.17032831,3639,89.82967169,43.8013367,-91.335884
2717940,Laporte Public School District,324.58,3773136,11624.67,49460,48.0328571,338,46.15,53.85,15.68,0,0,1.18,1.78,75.74,5.62,57.1,55536,4072,78,9.911054638,709,90.08894536,115,13.95631068,709,86.04368932,47.2173235,-94.8752198
2723370,Nevis Public School District,592.15,5852396,9883.3,53321,68.3614286,626,50.32,49.68,1.92,0,0,4.31,0.8,88.98,3.99,45.85,56379,4301,114,9.238249595,1120,90.76175041,166,12.90824261,1120,87.09175739,46.9471619,-94.8808815
2728080,Park Rapids Public School District,1670.67,16104587,9639.6,52168,51.7957143,1739,51.29,48.71,2.13,0.17,0,6.56,0.58,83.89,6.67,51.01,53944,2749,709,11.96220685,5218,88.03779315,959,15.52533592,5218,84.47466408,47.0227262,-95.1357955
2706060,Braham Public School District,740.08,6760399,9134.69,53013,59.8514286,755,47.95,52.05,0,0.53,0.13,2.12,0.79,93.91,2.52,41.32,56893,2959,349,12.76051188,2386,87.23948812,489,17.00869565,2386,82.99130435,45.7231163,-93.1987464
