censusid,popcount,mhi,id,dname,lat,lng,admtotal,generalfundexpends,perpupilexpends,avgteachersalary,readingproficiency
2700123,2200,65680,2700123,Howard Lake-Waverly-Winsted,45.0423581,-94.0396813,1255.38,12322797,9815.99,52743,60.3914286
2702910,2700,49932,2702910,Walker-Hackensack-Akeley School District,47.0446058,-94.5583883,769.62,9261043,12033.27,52748,53.9128571
2700007,1500,56705,2700007,Kingsland Public School District,43.6950381,-92.3179725,563.4,5282881,9376.79,52752,62.0528571
2730870,2400,44496,2730870,Northland Community Schools,47.0544103,-94.0510611,327.35,6038520,18446.68,52789,39.8033333
2742720,3900,53075,2742720,Willmar Public School District,45.0876733,-95.0239358,4253.25,41869252,9844.06,52793,46.68
2710140,1700,47563,2710140,Deer River Public School District,47.5138496,-93.8474107,921.64,12105608,13134.86,52811,53.5571429
2717910,750,58516,2717910,Lanesboro Public School District,43.7275442,-91.9448125,352.39,3613783,10255.07,52824,63.2571429
2733300,700,51125,2733300,Spring Grove School District,43.5756011,-91.631879,363.66,4207056,11568.65,52829,68.2514286
2700287,1900,72169,2700287,Plainview-Elgin-Millville,44.1847281,-92.1941707,1481.68,12679635,8557.61,52892,67.1542857
2717570,500,49521,2717570,Lake of the Woods School District,48.5881525,-94.8866975,459.65,5571088,12120.28,52965,47.2957143
2706150,1000,50814,2706150,Breckenridge Public School District,46.3623768,-96.5184185,634.76,7320207,11532.24,53013,55.0542857
2706060,1700,56893,2706060,Braham Public School District,45.7231163,-93.1987464,740.08,6760399,9134.69,53013,59.8514286
2725140,1300,54559,2725140,Osakis Public School District,45.885153,-95.1055025,840.41,7631697,9080.92,53044,62.0785714
2700126,950,56406,2700126,Ada-Borup Public School District,47.291103,-96.5239017,570.29,7613070,13349.47,53078,59.5242857
2728320,2300,58750,2728320,Pierz Public School District,45.9942788,-94.0548626,1174.65,10189027,8674.1,53080,61.0642857
2700102,2100,61742,2700102,Sibley East School District,44.5680938,-94.1212062,1148.65,10930383,9515.85,53131,50.6314286
2700006,2200,62217,2700006,Maple River School District,43.9061261,-93.9885016,899.91,9650272,10723.6,53160,66.9857143
2733480,900,76795,2733480,St. Clair Public School District,44.0826578,-93.8714048,661.98,6180560,9336.48,53243,60.0714286
2728290,1400,58448,2728290,Rushford-Peterson Public Schools,43.7863591,-91.7953783,693.09,7449969,10748.92,53249,62.1057143
2723370,900,56379,2723370,Nevis Public School District,46.9471619,-94.8808815,592.15,5852396,9883.3,53321,68.3614286
2733600,1200,52333,2733600,St. James Public School District,43.9836244,-94.6347259,1030.52,10567249,10254.29,53349,57.11
2710090,950,53375,2710090,Dawson-Boyd Public School District,44.8993198,-96.012372,565.34,6225734,11012.37,53429,64.4714286
2791447,600,64241,2791447,Kittson Central School District,48.7510461,-96.9832754,232.02,3526781,15200.33,53431,70.4471429
2703030,600,62353,2703030,Alden-Conger Public School District,43.6364923,-93.5615029,501.42,5525741,11020.18,53510,58.6057143
2709480,2000,52685,2709480,Greenway Public School District,47.3437825,-93.3505926,1050.51,12708016,12097,53537,61.7242857
2717520,2000,63472,2717520,Lake City Public School District,44.3928129,-92.3338849,1236.6,11664174,9432.46,53622,56.1157143
2700163,1600,58721,2700163,Renville County West School District,44.7907181,-95.2186117,568.38,6651406,11702.39,53629,54.88
2738280,800,66000,2738280,Swanville Public School District,45.9464225,-94.6396887,313.54,2999605,9566.9,53650,54.4328571
2700019,3200,58327,2700019,Minnewaska School District,45.628635,-95.4454853,1247.56,15730276,12608.83,53712,61.4614286
2700105,2000,54767,2700105,Belgrade-Brooten-Elrosa Public School District,45.4636,-95.0949723,633.68,6728090,10617.49,53713,63.7742857
2718940,2300,52000,2718940,Marshall Public School District,44.4366057,-95.7463159,2517.25,25908771,10292.49,53720,58.6671429
2714070,2200,45951,2714070,Hinckley-Finlayson School District,46.0433365,-92.8958254,962.1,10070689,10467.4,53827,40.7828571
2711520,750,48045,2711520,Ely Public School District,47.9073158,-91.9323094,567.79,7150004,12592.69,53835,63.22
2718210,2700,61330,2718210,Litchfield Public School District,45.1256428,-94.4978021,1555.53,16221008,10427.96,53885,65.1457143
2708220,1500,73407,2708220,Chatfield Public Schools,43.8430231,-92.2043769,867.48,8766530,10105.74,53977,70.5128571
2728110,1100,59044,2728110,Parkers Prairie Public School District,46.1399273,-95.3563313,544.22,6431599,11818.01,53998,64.7771429
2717010,450,43542,2717010,Kelliher Public School District,48.2086227,-94.6516094,276.55,4739154,17136.7,54089,44.6985714
2740860,850,64167,2740860,Upsala Public School District,45.8246278,-94.5295989,380.38,3809450,10014.85,54237,53.2442857
2711010,1400,78106,2711010,Dover-Eyota Public School District,43.9949007,-92.2154739,1118.62,10019353,8956.89,54262,63.3428571
2711910,1100,60863,2711910,Fertile-Beltrami School District,47.5660362,-96.3333442,477.62,5543145,11605.76,54262,71.7042857
2730510,600,35919,2730510,Red Lake Public School District,47.8701514,-95.181105,1473.35,30482917,20689.53,54398,24.03
