censusID,mHI,mHI_MOE,NoComp_Cnt,NoComp_Pct,YesComp_Cnt,YesCom_Pct,NoInternet_Cnt,NoInternet_Pct,YesInternet_Cnt,YesInternet_Pct
2707590,58935,6153,280,13.63857769,1773,86.36142231,461,20.63563115,1773,79.36436885
2708100,96006,3549,545,4.690592994,11074,95.30940701,705,5.985227948,11074,94.01477205
2708220,73407,4288,261,11.328125,2043,88.671875,352,14.69728601,2043,85.30271399
2708880,94500,21079,7,6.930693069,94,93.06930693,7,6.930693069,94,93.06930693
2708910,43796,6000,356,12.59731069,2470,87.40268931,386,13.51540616,2470,86.48459384
2708940,56667,7998,67,12.57035647,466,87.42964353,96,17.08185053,466,82.91814947
2709330,80156,3877,86,7.962962963,994,92.03703704,108,9.800362976,994,90.19963702
2709420,54141,4793,831,13.02099655,5551,86.97900345,1196,17.72639692,5551,82.27360308
2709480,52685,4420,534,13.05623472,3556,86.94376528,800,18.36547291,3556,81.63452709
2709510,54132,2026,1549,12.85904035,10497,87.14095965,1888,15.24424707,10497,84.75575293
2709540,58214,9037,67,14.16490486,406,85.83509514,109,21.16504854,406,78.83495146
2709690,56850,6592,157,16.25258799,809,83.74741201,220,21.37998056,809,78.62001944
2709720,55460,5051,438,10.74846626,3637,89.25153374,443,10.85784314,3637,89.14215686
2709750,51298,2876,604,11.30662673,4738,88.69337327,777,14.08884859,4738,85.91115141
2710060,64265,2286,466,11.61805036,3545,88.38194964,548,13.38871244,3545,86.61128756
2710090,53375,3451,165,11.51430565,1268,88.48569435,220,14.78494624,1268,85.21505376
2710140,47563,5372,418,15.92380952,2207,84.07619048,540,19.65780852,2207,80.34219148
2710170,95985,10528,347,7.584699454,4228,92.41530055,361,7.866637612,4228,92.13336239
2710230,59040,3423,919,11.15968427,7316,88.84031573,1112,13.19411486,7316,86.80588514
2711010,78106,4833,162,9.418604651,1558,90.58139535,217,12.22535211,1558,87.77464789
2711040,51913,1515,4778,10.93564039,38914,89.06435961,6451,14.22021382,38914,85.77978618
2711220,57386,6312,142,13.06347746,945,86.93652254,191,16.81338028,945,83.18661972
2711085,42910,2591,431,16.85569026,2126,83.14430974,604,22.12454212,2126,77.87545788
2711130,63804,7049,687,14.48450348,4056,85.51549652,731,15.27052434,4056,84.72947566
2711190,61319,4543,298,13.4841629,1912,86.5158371,415,17.83412119,1912,82.16587881
2711250,119294,6628,888,5.091743119,16552,94.90825688,1024,5.826126536,16552,94.17387346
2711370,97326,4921,1488,5.668571429,24762,94.33142857,2378,8.761974945,24762,91.23802506
2711460,52500,7793,91,18.60940695,398,81.39059305,101,20.24048096,398,79.75951904
2711520,48045,4617,377,13.34041047,2449,86.65958953,431,14.96527778,2449,85.03472222
2711670,117906,2597,636,3.904954872,15651,96.09504513,803,4.880272274,15651,95.11972773
2711760,60652,2570,1803,13.60754717,11447,86.39245283,2172,15.94830751,11447,84.05169249
2711820,93611,3226,426,3.381489125,12172,96.61851087,678,5.276264591,12172,94.72373541
2711880,54284,5512,1430,14.50157185,8431,85.49842815,1859,18.06608358,8431,81.93391642
2711910,60863,3774,192,13.66548043,1213,86.33451957,248,16.97467488,1213,83.02532512
2712180,68750,6514,32,8.913649025,327,91.08635097,53,13.94736842,327,86.05263158
2712210,43333,2784,142,17.44471744,672,82.55528256,165,19.71326165,672,80.28673835
2712240,71617,3141,477,12.31285493,3397,87.68714507,655,16.16485686,3397,83.83514314
2712270,85410,3039,1375,7.176034654,17786,92.82396535,1664,8.555269923,17786,91.44473008
2712300,48917,3960,298,15.68421053,1602,84.31578947,342,17.59259259,1602,82.40740741
2712360,60299,2699,403,14.12053259,2451,85.87946741,511,17.25185685,2451,82.74814315
2712420,58097,4585,505,7.680608365,6070,92.31939163,617,9.226858083,6070,90.77314192
2712480,60048,7702,154,12.99578059,1031,87.00421941,188,15.42247744,1031,84.57752256
2712900,78472,6418,99,7.86963434,1159,92.13036566,152,11.5942029,1159,88.4057971
2713020,57500,10043,42,10.82474227,346,89.17525773,65,15.81508516,346,84.18491484
2713110,52271,3328,285,9.550938338,2699,90.44906166,416,13.35473515,2699,86.64526485
2713140,70357,9550,89,11.05590062,716,88.94409938,156,17.88990826,716,82.11009174
2713170,53716,2193,1677,12.30735359,11949,87.69264641,2196,15.52492047,11949,84.47507953
2713380,60865,6104,41,8.039215686,469,91.96078431,78,14.25959781,469,85.74040219
2713530,76385,2845,1196,8.724832215,12512,91.27516779,1523,10.85144282,12512,89.14855718
2713560,77865,5004,246,12.85266458,1668,87.14733542,353,17.46660069,1668,82.53339931
2713590,64840,4071,259,11.97964847,1903,88.02035153,320,14.39496176,1903,85.60503824
2713680,48833,5084,122,19.93464052,490,80.06535948,128,20.71197411,490,79.28802589
2713860,52578,3279,183,12.55144033,1275,87.44855967,270,17.47572816,1275,82.52427184
2713890,48643,2306,70,14.22764228,422,85.77235772,96,18.53281853,422,81.46718147
2713920,70758,4271,552,10.75185041,4582,89.24814959,660,12.59061427,4582,87.40938573
2713930,60000,8533,93,11.93838254,686,88.06161746,150,17.94258373,686,82.05741627
2713980,47213,3443,1037,12.38948626,7333,87.61051374,1648,18.34984968,7333,81.65015032
2714010,41912,5163,124,14.3187067,742,85.6812933,196,20.89552239,742,79.10447761
2714040,64896,5176,111,11.1334002,886,88.8665998,180,16.88555347,886,83.11444653
2700001,49091,5172,399,15.9027501,2110,84.0972499,529,20.04547177,2110,79.95452823
2700005,52576,2799,447,15.45643154,2445,84.54356846,549,18.33667335,2445,81.66332665
2700006,62217,2425,313,11.55834564,2395,88.44165436,412,14.67759173,2395,85.32240827
2700007,56705,4086,306,12.5,2142,87.5,457,17.58368603,2142,82.41631397
2700008,54809,1660,1441,15.1956132,8042,84.8043868,1795,18.24743316,8042,81.75256684
2700017,84455,4059,702,7.874369041,8213,92.12563096,888,9.757169542,8213,90.24283046
2700019,58327,3069,633,12.88680782,4279,87.11319218,874,16.9609936,4279,83.0390064
2700021,56021,3649,550,12.51991805,3843,87.48008195,695,15.31511679,3843,84.68488321
2700022,45704,3429,757,18.70983688,3289,81.29016312,933,22.0985315,3289,77.9014685
2700024,62011,3908,232,12.88173237,1569,87.11826763,267,14.54248366,1569,85.45751634
2700088,60331,7153,115,9.51986755,1093,90.48013245,180,14.13982718,1093,85.86017282
2700089,58902,3424,271,11.88075406,2010,88.11924594,350,14.83050847,2010,85.16949153
2700103,47566,2314,240,17.75147929,1112,82.24852071,296,21.02272727,1112,78.97727273
2700090,55152,3101,303,12.5,2121,87.5,440,17.18078875,2121,82.81921125
2700101,57679,3915,196,18.63117871,856,81.36882129,286,25.04378284,856,74.95621716
2700102,61742,2925,485,13.78232452,3034,86.21767548,694,18.61587983,3034,81.38412017
2700107,53447,2665,189,14.90536278,1079,85.09463722,194,15.23959152,1079,84.76040848
2700108,50663,5363,555,14.85148515,3182,85.14851485,649,16.94074654,3182,83.05925346
2700109,49617,5083,658,16.65401164,3293,83.34598836,903,21.52049571,3293,78.47950429
2700110,54512,4075,162,14.59459459,948,85.40540541,237,20,948,80
2700124,50553,6046,912,14.23665314,5494,85.76334686,1072,16.32653061,5494,83.67346939
