GEO_ID,NAME,S1901_C01_001E,S1901_C02_001E,S1901_C03_001E,S1901_C04_004E,S1901_C01_012E,S1901_C01_012M,S1901_C02_012E,S1901_C02_012M,S1901_C03_012E,S1901_C04_012E,S1901_C01_013E,S1901_C02_013E
id,Geographic Area Name,Estimate!!Households!!Total,Estimate!!Families!!Total,Estimate!!Married-couple families!!Total,"Estimate!!Nonfamily households!!Total!!$15,000 to $24,999",Estimate!!Households!!Median income (dollars),Margin of Error!!Households MOE!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families MOE!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Estimate!!Families!!Mean income (dollars)
9700000US2732250,"Roseau Public School District, Minnesota",2638,1747,1494,17.6,62308,3017,78527,4117,83482,33224,75882,90844
9700000US2732390,"Rosemount-Apple Valley-Eagan, Minnesota",56584,41676,33707,10.3,94036,2384,110491,2186,126056,51493,116128,133300
9700000US2732430,"Roseville Public School District, Minnesota",24402,13916,10532,13.3,64846,2386,86236,3199,100138,41846,85027,106419
9700000US2732460,"Rothsay Public School District, Minnesota",464,344,303,15,60000,8587,67188,9248,69432,29500,66163,75845
9700000US2732520,"Royalton Public School District, Minnesota",1471,1032,852,7.1,63724,3107,71923,8083,80417,36045,75545,85619
9700000US2732550,"Rush City Public School District, Minnesota",2175,1459,1180,13.7,65905,6599,74693,6047,84375,32917,75462,86713
9700000US2732700,"South Koochiching School District, Minnesota",564,362,319,23.8,46750,7550,57262,3633,59926,25556,58923,69770
9700000US2732820,"Sartell-St. Stephen School District, Minnesota",6922,5061,4245,13.8,82194,4991,99011,5947,110138,46520,105372,119699
9700000US2732850,"Sauk Centre Public School District, Minnesota",3028,2030,1738,16.4,60048,3231,70486,5903,75000,39659,75256,87877
9700000US2732880,"Sauk Rapids-Rice Public Schools, Minnesota",9667,6391,4818,14.5,57732,3349,70412,5790,83036,33768,72119,83275
9700000US2732970,"Sebeka Public School District, Minnesota",1166,801,636,24.1,51583,4554,56948,2657,65208,27109,59340,65137
9700000US2733000,"Shakopee Public School District, Minnesota",15003,11145,8751,11.8,84905,4234,101434,6725,115625,49099,105214,118856
9700000US2733210,"Sleepy Eye Public School District, Minnesota",2251,1559,1311,21.4,58524,5613,70842,5391,74926,27917,68470,81866
9700000US2733270,"South St. Paul Public School District, Minnesota",7959,5025,3421,14.1,61228,3021,69586,5416,85031,40134,69656,79151
9700000US2733300,"Spring Grove School District, Minnesota",950,593,488,26.1,51125,4769,64097,4846,68095,22340,60140,73713
9700000US2733330,"Spring Lake Park Public Schools, Minnesota",12392,8215,6141,13.2,70404,3859,89443,5016,103851,39992,96945,115668
9700000US2733390,"Springfield Public School District, Minnesota",1330,846,683,17.8,54421,1896,66500,7836,77009,29571,62816,76780
9700000US2733420,"St. Anthony-New Brighton Schools, Minnesota",4830,2733,2143,13.3,70143,5393,92385,6409,109738,44953,91080,109568
9700000US2733450,"St. Charles Public School District, Minnesota",2102,1515,1231,18.1,72120,5382,83191,7521,96157,35859,84746,98220
9700000US2733480,"St. Clair Public School District, Minnesota",992,754,652,16,76795,5153,92115,7425,98167,52031,93025,103519
9700000US2733510,"St. Cloud Public School District, Minnesota",37999,21620,15272,14.4,50814,1828,66908,1690,81882,32979,67462,83275
9700000US2733540,"St. Francis Public School District, Minnesota",11368,8877,7400,10.1,87975,3059,94419,5675,105344,57198,100484,106580
9700000US2733600,"St. James Public School District, Minnesota",2526,1548,1237,14.4,52333,4128,70942,6318,78393,32763,64120,81304
9700000US2733780,"St. Louis Park Public School District, Minnesota",22085,10353,7923,10.3,76888,3013,105801,5094,124398,54628,96293,121652
9700000US2733790,"St. Michael-Albertville School District, Minnesota",7876,6550,5230,6.9,101386,9970,109292,5406,116618,44638,104365,112735
9700000US2733810,"South Washington County School District, Minnesota",34804,26122,21621,8.9,97320,2392,113553,3247,124883,53887,120731,135195
9700000US2733840,"St. Paul Public School District, Minnesota",112999,62059,40782,13.1,55085,938,69759,1858,92405,39784,77516,93954
9700000US2733870,"St. Peter Public School District, Minnesota",5158,3389,2637,13.2,61064,3322,74211,4309,83096,36028,74289,86299
9700000US2733900,"Staples-Motley School District, Minnesota",4220,2780,2210,20.3,44948,2880,56721,3309,66111,26169,59586,70955
9700000US2738160,"Stewartville Public School District, Minnesota",3489,2593,1957,19.4,71189,6588,83352,5187,100648,30875,81508,93834
9700000US2738190,"Stillwater Area Public School District, Minnesota",23636,17009,14468,10.6,96699,3072,116362,3930,130221,54118,125784,145681
9700000US2738280,"Swanville Public School District, Minnesota",710,536,468,12.6,66000,7271,72857,7809,77381,38333,70469,76515
9700000US2738850,"Thief River Falls School District, Minnesota",5813,3568,2637,17.8,60163,5891,75745,4973,88304,31587,72058,86356
9700000US2738880,"Esko Public School District, Minnesota",1853,1447,1268,15.8,82723,11365,97887,9176,100678,46071,92186,103046
9700000US2740665,"Triton School District, Minnesota",2653,1906,1479,13.9,63616,2849,74762,4631,81950,39708,79676,90753
9700000US2740680,"Truman Public School District, Minnesota",971,667,519,16.4,52689,3869,60804,4237,66458,29861,62905,74684
9700000US2740740,"Lake Superior Public School District, Minnesota",6222,3953,3277,16.4,61599,4172,72926,4303,79013,39724,74348,87437
9700000US2740810,"Ulen-Hitterdal Public School District, Minnesota",667,469,393,20.7,63109,4353,75268,7701,77054,28250,83643,101940
9700000US2740830,"Underwood Public School District, Minnesota",1024,731,676,17.1,68854,3510,77056,2351,79091,36016,74389,84203
9700000US2740860,"Upsala Public School District, Minnesota",790,582,490,10.1,64167,3471,70556,7105,76667,41786,75125,80448
9700000US2740920,"Verndale Public School District, Minnesota",677,475,394,25.2,47981,5481,57292,9136,66500,24667,69770,82930
9700000US2741040,"Virginia Public School District, Minnesota",5284,2574,1898,18.9,46707,2739,71066,5240,86250,24217,59667,81167
9700000US2741060,"Wabasha-Kellogg Public School District, Minnesota",2232,1500,1262,16.1,59754,4142,72730,2665,75938,31811,72779,85556
9700000US2741430,"Wabasso Public School District, Minnesota",985,703,611,28.7,57109,5793,72847,5025,77212,24886,70716,82959
9700000US2741460,"Waconia Public School District, Minnesota",7433,5580,4885,13.6,97574,5958,113226,7441,125515,43217,114862,132140
9700000US2741850,"Warroad Public School District, Minnesota",2292,1543,1238,18.2,54950,5629,66547,4607,73520,37569,65532,75227
9700000US2741880,"Waseca Public School District, Minnesota",4819,3086,2375,19.9,51087,3005,67882,5889,77303,30712,65047,80007
9700000US2741910,"Watertown-Mayer Public School District, Minnesota",3548,2663,2439,6,86875,4543,99127,5526,104338,40030,99380,114718
9700000US2742120,"Waubun-Ogema-White Earth Public Schools, Minnesota",1213,836,549,17.5,47107,2565,56630,2983,69861,23750,62457,72285
9700000US2742160,"Wayzata Public School District, Minnesota",26755,18704,16446,13,109562,4824,140454,3408,152839,54004,157641,190479
9700000US2742270,"West St. Paul-Mendota Heights-Eagan, Minnesota",18140,11093,8412,13.3,72556,2556,96128,4152,113609,38335,101780,132234
9700000US2742330,"Wheaton Area Public School District, Minnesota",1069,659,530,15.6,46813,4707,59961,5314,68125,32857,65496,78738
9700000US2742360,"White Bear Lake School District, Minnesota",26582,18170,14997,14,84548,2705,102999,3365,111318,44714,102005,121043
9700000US2742720,"Willmar Public School District, Minnesota",9797,6437,4976,22.5,53075,3462,65881,4018,75448,32813,66189,77631
9700000US2742750,"Willow River Public School District, Minnesota",1290,839,721,17.7,50625,4924,61813,4958,64938,32625,62077,66714
9700000US2742780,"Windom Public School District, Minnesota",2581,1623,1388,16.2,51509,6421,70657,4584,76667,29643,65474,81633
9700000US2744070,"Winona Area Public School District, Minnesota",15573,8409,6840,18.2,51023,2176,72480,2458,79569,29605,66650,88505
9700000US2744160,"Worthington Public School District, Minnesota",5675,3860,2802,17.7,51998,5198,63015,3474,70484,26482,63896,71742
9700000US2744190,"Wrenshall Public School District, Minnesota",771,540,469,18.2,64279,3835,74659,5577,80417,39750,74007,85240
9700000US2745735,"Zumbrota-Mazeppa School District, Minnesota",2917,1932,1648,16.1,71689,6337,94634,7220,102358,39007,85681,103796
9700000US2791445,"Lake Crystal-Wellcome Memorial, Minnesota",2431,1770,1572,9.7,66947,3933,78171,4187,82895,36005,82503,94886
9700000US2791446,"Tri-County School District, Minnesota",870,531,401,20.6,45667,2879,62813,6580,71779,24688,58602,74404
9700000US2791447,"Kittson Central School District, Minnesota",879,546,456,5.4,64241,5550,84750,7822,91136,42098,79189,91586
9700000US2791448,"Norman County West School District, Minnesota",682,408,324,9.9,49868,5934,63000,9121,70357,30000,62096,78259
9700000US2791449,"Win-E-Mac School District, Minnesota",1355,849,749,19.6,49750,3731,72109,6216,75547,22656,66809,89000
9700000US2791450,"Mesabi East School District, Minnesota",3315,2154,1769,18,53538,2901,64813,6912,73939,32438,64922,75011
9700000US2791451,"Janesville-Waldorf-Pemberton, Minnesota",1935,1399,1236,17,73880,3078,87031,4702,89750,40565,83035,95338
9700000US2799999,"Remainder of Minnesota, Minnesota",3361,2133,1684,18.8,52484,2955,66335,2964,76466,27656,65861,80133
0400000US27,Minnesota,2167801,1395514,1103647,14.6,68411,276,86204,382,98622,39557,90600,109028
