GEOID,NAME,LAT,LON
2718360,Lyle Public School District,43.5366771,-92.9650599
2713140,Grand Meadow Public School District,43.7006985,-92.572777
2708190,Eastern Carver County Public Schools,44.8002412,-93.6379176
2711250,Edina Public School District,44.8910772,-93.3578231
2745735,Zumbrota-Mazeppa School District,44.289631,-92.5862494
2728950,Pine Island Public School District,44.18555,-92.636086
2712420,Fridley Public School District,45.0846155,-93.2592376
2721240,Minneapolis Public School District,44.9633242,-93.2683198
2725080,Orono Public School District,44.9973086,-93.610104
2731780,Robbinsdale Public School District,45.0304737,-93.378405
2712900,Goodhue Public School District,44.4187097,-92.5910235
2717520,Lake City Public School District,44.3928129,-92.3338849
2711760,Faribault Public School District,44.3094184,-93.2504574
2723880,Northfield Public School District,44.4658288,-93.2065442
2705460,Big Lake Public School District,45.3915322,-93.7064576
2733540,St. Francis Public School District,45.3804629,-93.3313746
2700017,Chisago Lakes School District,45.3905662,-92.8049451
2712270,Forest Lake Public School District,45.2738655,-92.994513
2711370,Elk River Public School District,45.3272507,-93.5722122
2727007,St. Louis-Northland in Nett Lake (7-12),48.1299347,-93.1769195
2733720,Nett Lake Public School District,48.1299347,-93.1769195
2708910,Chisholm Public School District,47.541039,-92.8621902
2711520,Ely Public School District,47.9073158,-91.9323094
2712210,Floodwood Public School District,46.9180728,-92.9431903
2713920,Hermantown Public School District,46.8928811,-92.2276096
2730090,Proctor Public School District,46.860097,-92.3344233
2741040,Virginia Public School District,47.6240008,-92.5231972
2721450,Moose Lake Public School District,46.4333463,-92.796174
2709420,Cloquet Public School District,46.7509917,-92.5333742
2742750,Willow River Public School District,46.3282087,-92.901354
2719170,McGregor Public School District,46.577144,-93.2387416
2714010,Hill City Public School District,46.9527982,-93.5237792
2709690,Cromwell-Wright Public Schools,46.6705876,-92.9108987
2738880,Esko Public School District,46.713831,-92.3607923
2744190,Wrenshall Public School District,46.5190014,-92.3437281
2715510,Isle Public School District,46.1541655,-93.4547996
2720670,Milaca Public School District,45.8154999,-93.6915235
2728380,Pine City Public School District,45.8537903,-92.9273121
2713110,Cook County Public Schools,47.7246717,-90.4437558
2740740,Lake Superior Public School District,47.4744895,-91.4873255
2700001,Mountain Iron-Buhl School District,47.5653272,-92.723232
2707410,Cambridge-Isanti Public School District,45.5423445,-93.260583
2732550,Rush City Public School District,45.6742649,-92.9702159
